ecode,cname,fye,filingDate,address,stkno
E03497,株式会社ＭｏｎｏｔａＲＯ,2014-12-31,2015-03-26,兵庫県尼崎市竹谷町二丁目183番地,3064.0
E00196,株式会社福田組,2014-12-31,2015-03-26,新潟市中央区一番堀通町３番地10,1899.0
E04256,東海汽船株式会社,2014-12-31,2015-03-26,東京都港区海岸一丁目16番１号,9173.0
E04560,藤田観光株式会社,2014-12-31,2015-03-26,東京都文京区関口二丁目10番８号,9722.0
E00374,株式会社不二家,2014-12-31,2015-03-26,東京都文京区大塚二丁目15番６号,2211.0
E04984,株式会社ニッパンレンタル,2014-12-31,2015-03-26,群馬県前橋市西片貝町四丁目５番地15,4669.0
E05447,株式会社アウトソーシング,2014-12-31,2015-03-26,東京都千代田区丸の内一丁目８番３号,2427.0
E05627,株式会社ハイパー,2014-12-31,2015-03-26,東京都中央区日本橋堀留町二丁目９番６号,3054.0
E27066,株式会社ＩＢＪ,2014-12-31,2015-03-26,東京都新宿区西新宿一丁目23番７号,6071.0
E30114,株式会社ブイキューブ,2014-12-31,2015-03-26,東京都目黒区上目黒二丁目１番１号,3681.0
E26596,株式会社モブキャスト,2014-12-31,2015-03-26,東京都港区六本木六丁目８番10号,3664.0
E00932,中外製薬株式会社,2014-12-31,2015-03-26,東京都北区浮間五丁目５番１号（上記は登記簿上の本店所在地であり、事実上の本社業務は下記「最寄りの連絡場所」において行っております。）,4519.0
E05413,サイオステクノロジー株式会社,2014-12-31,2015-03-26,東京都港区南麻布二丁目12番３号　サイオスビル,3744.0
E04820,ジャパンシステム株式会社,2014-12-31,2015-03-26,東京都渋谷区代々木一丁目22番１号,9758.0
E24951,株式会社ポーラ・オルビスホールディングス,2014-12-31,2015-03-26,東京都品川区西五反田二丁目２番３号（同所は登記上の本店所在地で実際の業務は「最寄りの連絡場所」で行っております。）,4927.0
E26625,日本エマージェンシーアシスタンス株式会社,2014-12-31,2015-03-26,東京都文京区小石川一丁目21番14号,6063.0
E05033,フューチャーアーキテクト株式会社,2014-12-31,2015-03-26,東京都品川区大崎一丁目２番２号,4722.0
